multipole,value,angle
Normal Quadrupole,-21.151523316,114.0
Normal Quadrupole,-17.1735598282,114.2
Normal Quadrupole,-8.84184597403,114.4
Normal Quadrupole,-1.53772315494,114.6
Normal Quadrupole,1.08722727544,114.8
Normal Quadrupole,1.69336514004,115.0
Normal Quadrupole,1.73462976495,115.2
Normal Quadrupole,1.49739318564,115.4
Normal Quadrupole,1.032918642,115.6
Normal Quadrupole,0.542941296633,115.8
Normal Quadrupole,0.000730835022498,116.0
Normal Quadrupole,-0.471663356919,116.2
Normal Quadrupole,-0.83915365025,116.4
Normal Quadrupole,-1.22673884944,116.6
Normal Quadrupole,-1.84407769883,116.8
Normal Quadrupole,-2.82501700562,117.0
Normal Quadrupole,-2.55655944657,117.2
Normal Quadrupole,-5.35448692418,117.4
Normal Quadrupole,-6.5066846321,117.6
Normal Quadrupole,-7.50031578044,117.8
Normal Quadrupole,-8.52371354725,118.0
Normal Quadrupole,-9.1845054289,118.2
Normal Quadrupole,-9.87753613045,118.4
Normal Quadrupole,-10.203876538,118.6
Normal Quadrupole,-10.2706908974,118.8
Normal Quadrupole,-10.2042517996,119.0
Normal Quadrupole,-10.1559315964,119.2
Normal Quadrupole,-10.1629292741,119.4
Normal Quadrupole,-10.2106064723,119.6
Normal Quadrupole,-10.2986034684,119.8
Normal Quadrupole,-10.4639145544,120.0
Normal Quadrupole,-10.5192578916,120.2
Normal Quadrupole,-10.2543713425,120.4
Normal Quadrupole,-9.66056613997,120.6
Normal Quadrupole,-8.92839476974,120.8
Normal Quadrupole,-8.14384941616,121.0
Normal Quadrupole,-7.28734681727,121.2
Normal Quadrupole,-6.63377016225,121.4
Normal Quadrupole,-6.15094253282,121.6
Normal Quadrupole,-5.88077780888,121.8
Normal Quadrupole,-5.81149692104,122.0
Normal Quadrupole,-5.95114714596,122.2
Normal Quadrupole,-6.26622709982,122.4
Normal Quadrupole,-6.68204786786,122.6
Normal Quadrupole,-7.1457837532,122.8
Normal Quadrupole,-7.5483968427,123.0
Normal Quadrupole,-7.68763835183,123.2
Normal Quadrupole,-7.33397385874,123.4
Normal Quadrupole,-6.09138721487,123.6
Normal Quadrupole,-4.99043772694,123.8
Normal Quadrupole,-3.8699687197,124.0
Normal Quadrupole,-1.62973284386,124.2
Normal Quadrupole,0.609304933139,124.4
Normal Quadrupole,1.51057275671,124.6
Normal Quadrupole,1.65356060823,124.8
Normal Quadrupole,1.59636907844,125.0
Normal Quadrupole,1.50052971451,125.2
Normal Quadrupole,1.49172291209,125.4
Normal Quadrupole,1.51901361573,125.6
Normal Quadrupole,1.56020844689,125.8
Normal Quadrupole,1.54088687125,126.0
Normal Quadrupole,1.37456084438,126.2
Normal Quadrupole,1.00908420521,126.4
Normal Quadrupole,0.683933095382,126.6
Normal Quadrupole,0.491663861866,126.8
Normal Quadrupole,0.48833759294,127.0
Normal Quadrupole,0.576758226806,127.2
Normal Quadrupole,0.705255717646,127.4
Normal Quadrupole,0.962184921949,127.6
Normal Quadrupole,1.34898291454,127.8
Normal Quadrupole,1.77657892129,128.0
Normal Quadrupole,2.09232358292,128.2
Normal Quadrupole,2.19129755321,128.4
Normal Quadrupole,2.10900686493,128.6
Normal Quadrupole,1.90699659755,128.8
Normal Quadrupole,1.76709281537,129.0
